id,university,score, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
552,University Of Washington Seattle,4.5,CS,PhD,Rejected,I,2017,3.9,162,166,328,5,TRUE
553,University Of Colorado Boulder,3.2,CS,Masters,Accepted,I,2014,3.8,146,169,315,3,TRUE
554,Cornell (Ithaca),4.5,CS,PhD,Rejected,I,2017,3.93,166,168,334,5,TRUE
555,University Of Washington,4.5,CS,PhD,Rejected,I,2014,3.77,159,164,323,4.5,TRUE
556,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2015,3.87,157,168,325,4,TRUE
557,North Carolina State University,3.1,CS,PhD,Accepted,I,2015,3.11,149,167,316,3,TRUE
558,University Of Massachuetts Amherst,3.7,CS,Masters,Accepted,I,2016,3.6,149,167,316,3.5,TRUE
559,University Of Illinois Urbana Champagne (UIUC),4.6,CS,Masters,Rejected,I,2015,3.4,151,159,310,3,TRUE
560,University Of Washington,4.5,CS,PhD,Rejected,I,2014,4,161,163,324,4,TRUE
561,North Carolina State University,3.1,CS,Masters,Accepted,I,2014,3.96,163,167,330,4.5,TRUE
562,SUNY-Buffalo,2.7,CS,PhD,Accepted,I,2013,2.89,145,168,313,4,TRUE
563,"""University Of Washington",4.5,CS,PhD,Rejected,A,2017,3.6,162,166,328,4,TRUE
564,Yale University,3.7,CS,Masters,Rejected,U,2015,3.7,159,170,329,3.5,TRUE
565,(Arizona State University) ASU,3.1,CS,Masters,Accepted,I,2018,3.98,159,168,327,4.5,TRUE
566,Carnegie Mellon University - Computer Science Department,5,CS,PhD,Accepted,A,2017,4,169,170,339,5,TRUE
567,Harvard (Graduate School Of Arts And Sciences),4,Other,Masters,Rejected,I,2018,3.9,153,169,322,3.5,TRUE
568,California State University Of Long Beach,4.2,CS,Masters,Accepted,A,2015,3.8,151,161,312,3.5,TRUE
569,University Of Maryland,4,CS,PhD,Rejected,U,2015,3.6,151,169,320,3.5,TRUE
570,(Arizona State University) ASU Tempe,3.1,CS,Masters,Accepted,I,2018,3.25,153,168,321,3.5,TRUE
571,Brown University,3.6,CS,Masters,Accepted,A,2014,3.75,164,163,327,5.5,TRUE
572,Brown University,3.6,CS,Masters,Rejected,I,2018,3.63,154,168,322,3,TRUE
573,Brown,3.6,CS,PhD,Rejected,U,2014,3.86,157,165,322,3.5,TRUE
574,"University Of Arizona (Tucson, AZ)",3.1,CS,Masters,Accepted,I,2016,3.78,159,166,325,4,TRUE
575,Northeastern University (NEU),3,CS,Masters,Rejected,I,2016,3.3,154,165,319,4,TRUE
576,Columbia  University,4.1,CS,Masters,Rejected,A,2017,3.4,166,165,331,4.5,TRUE
577,NCSU North Carolina State University,3.1,CS,Masters,Rejected,I,2016,3.79,153,163,316,3.5,TRUE
578,The University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.6,153,157,310,3,TRUE
579,Carnegie Mellon University,5,CS,PhD,Rejected,A,2013,3.6,165,167,332,4.5,TRUE
580,"The University Of Colorado, Boulder",3.2,CS,Masters,Accepted,A,2018,3.5,159,163,322,4,TRUE
581,The University Of Utah,3.1,CS,PhD,Rejected,I,2015,3.56,147,166,313,4,TRUE
582,TAMU,3.1,CS,Masters,Rejected,I,2015,3.7,151,162,313,4,TRUE
583,Yale,3.7,CS,PhD,Rejected,A,2014,3.78,165,170,335,4.5,TRUE
584,Harvard (GSAS),4,CS,Masters,Rejected,I,2018,3.5,161,170,331,4.5,TRUE
585,University Of Maryland,4,CS,PhD,Accepted,I,2013,3.7,162,150,312,3.5,TRUE
586,Oregon State University,2.5,CS,PhD,Rejected,I,2015,4,155,144,299,3,TRUE
587,The University Of Arizona,3.1,CS,PhD,Rejected,A,2018,3,152,157,309,4,TRUE
588,The University Of Massachusetts Amherst (UMass),3.7,CS,Masters,Rejected,I,2018,3.7,161,165,326,4,TRUE
589,University Of Michigan Ann Arbor,4.2,CS,Masters,Accepted,A,2015,3.2,157,160,317,,TRUE
590,Brown University,3.6,CS,Masters,Accepted,A,2018,3.61,160,170,330,5.5,TRUE
591,Harvard University (SEAS),4,CS,PhD,Accepted,I,2015,3.6,160,170,330,4,TRUE
592,University Of Washington,4.5,CS,PhD,Rejected,A,2018,3.77,166,164,330,4,TRUE
593,Rutgers The State University Of New Jersey,3.3,CS,Masters,Accepted,I,2015,3.2,156,166,322,3.5,TRUE
594,UC Davis,3.3,CS,Masters,Accepted,I,2017,3.5,154,164,318,3.5,TRUE
595,UC Irvine (UCI),3.4,CS,Masters,Accepted,A,2017,3.3,157,168,325,5.5,TRUE
596,Carnege Mellon University(CMU),5,CS,PhD,Accepted,A,2017,3.6,163,164,327,4.5,TRUE
597,University Of Southern California,3.7,CS,Masters,Accepted,I,2015,3.7,167,170,337,5,TRUE
598,University Of Notre Dame,2.8,CS,PhD,Accepted,I,2015,3.84,166,168,334,5.5,TRUE
599,UC Berkeley (UCB),5,CS,PhD,Rejected,I,2018,3.95,155,170,325,3.5,TRUE
600,The University Of Illinois At Chicago (UIC),2.6,CS,Masters,Accepted,I,2017,3.48,155,159,314,3.5,TRUE
601,Carnegie Mellon University,5,CS,PhD,Accepted,U,2015,3.8,159,170,329,4,TRUE
602,Texas A&M; (TAMU),3.1,CS,Masters,Accepted,A,2013,3.55,151,165,316,,TRUE
603,"University Of California, Davis",3.3,CS,Masters,Rejected,U,2015,3.94,144,168,312,3,TRUE
604,"""University Of Washington Seattle",4.5,CS,PhD,Accepted,I,2016,3.6,151,170,321,3,TRUE
605,"University Of California, San Diego",4,CS,Masters,Accepted,I,2016,3.9,164,170,334,5.5,TRUE
606,Washington University St Louis,3,CS,PhD,Rejected,I,2018,3.51,145,168,313,3,TRUE
607,"University Of California, San Diego",4,CS,Masters,Rejected,I,2014,3.86,158,170,328,4,TRUE
608,"Ùniversity Of California, Irvine",3.4,CS,Masters,Rejected,I,2017,3.23,155,163,318,4.5,TRUE
609,Purdue University,3.7,CS,Masters,Accepted,I,2015,3.3,154,166,320,3,TRUE
610,University Of Wisconsin-Madison,4.1,CS,Masters,Rejected,I,2015,3.69,155,167,322,4,TRUE
611,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2014,3,134,168,302,3,TRUE
612,UC Irvine,3.4,CS,Masters,Accepted,U,2016,3.8,160,165,325,3.5,TRUE
613,UC Davis (University Of California Davis),3.3,CS,PhD,Rejected,I,2016,3.5,142,162,304,3.5,TRUE
614,Columbia University,4.1,CS,PhD,Rejected,U,2013,3.27,150,160,310,4,TRUE
615,NYU,3.4,CS,PhD,Rejected,A,2015,3.93,160,165,325,3.5,TRUE
616,University Of California - Irvine,3.4,CS,Masters,Accepted,I,2015,3.67,167,167,334,4.5,TRUE
617,Columbia University,4.1,Other,Masters,Rejected,U,2015,3.2,145,170,315,3.5,TRUE
618,University Of Florida,3,CS,Masters,Accepted,I,2013,3.08,147,170,317,2.5,TRUE
619,SUNY Stony Brook,3.2,CS,Masters,Rejected,I,2015,3.5,144,167,311,3,TRUE
620,The University Of Southern California (USC),3.7,CS,Masters,Rejected,U,2017,3.5,152,170,322,3,TRUE
621,Purdue University West Lafayette,3.7,CS,Masters,Accepted,I,2017,3.66,161,170,331,4,TRUE
622,"University Of Maryland, College Park",4,CS,PhD,Accepted,I,2015,3.26,157,169,326,3,TRUE
623,The University Of Southern California,3.7,CS,Masters,Accepted,I,2018,3.8,157,164,321,,TRUE
624,University Of Virginia,3.4,CS,Masters,Rejected,I,2015,9.99,159,168,327,3.5,TRUE
625,University Of Wisconsin Madison,4.1,CS,Masters,Rejected,I,2015,3.9,152,166,318,3.5,TRUE
626,University Of California Irvine (UCI),3.4,CS,PhD,Rejected,I,2013,2.9,145,163,308,3,TRUE
627,Columbia University,4.1,CS,PhD,Rejected,U,2015,3.92,159,166,325,4.5,TRUE
628,UC Berkeley,5,CS,Masters,Rejected,I,2015,3.8,157,165,322,4,TRUE
629,(SUNY) University At Buffalo,2.7,CS,Masters,Accepted,I,2018,3.4,152,162,314,3,TRUE
630,Clemson University,2.3,CS,Masters,Accepted,I,2015,3.75,147,170,317,3,TRUE
631,MIT,5,CS,PhD,Accepted,A,2013,2.9,161,166,327,5,TRUE
632,Illinois At Urbana Champaign (UIUC),4.6,CS,PhD,Accepted,I,2018,3.6,149,166,315,3,TRUE
633,NCSU (North Carolina State University) (NC State)A,3.1,CS,Masters,Accepted,I,2018,3.39,152,164,316,3,TRUE
634,Stanford University,5,CS,PhD,Rejected,I,2012,3.7,144,166,310,4,TRUE
635,University Of Wisconsin-Madison,4.1,CS,Masters,Rejected,I,2015,3.3,150,162,312,3.5,TRUE
636,(Arizona State University) ASU,3.1,CS,Masters,Accepted,U,2016,3.7,153,161,314,3.5,TRUE
637,University Of Wisconsin-Madison,4.1,CS,Masters,Accepted,I,2014,3.85,169,166,335,3,TRUE
638,University Of Texas (UT Austin),4.3,CS,PhD,Accepted,I,2017,3.98,152,170,322,3,TRUE
639,University Of Kentucky,2.2,CS,Masters,Accepted,I,2014,3.47,154,158,312,3,TRUE
640,University Of Washington,4.5,CS,PhD,Accepted,I,2015,3.86,143,167,310,3,TRUE
641,UCSD,4,CS,Masters,Accepted,I,2015,9.12,157,170,327,3.5,TRUE
642,Ohio State Univerisity,3.4,CS,Masters,Rejected,I,2018,3.2,158,169,327,4,TRUE
643,Stanford,5,CS,Masters,Accepted,I,2016,3.85,170,157,327,3.5,TRUE
644,Northeastern (NEU),3,CS,Masters,Rejected,I,2016,3.46,148,162,310,3,TRUE
645,Columbia University,4.1,CS,Masters,Accepted,A,2013,3.92,156,166,322,5,TRUE
646,Cornell,4.5,CS,Masters,Accepted,U,2013,3,164,164,328,,TRUE
647,"University Of California, Irvine",3.4,CS,Masters,Accepted,I,2015,2.7,166,170,336,3.5,TRUE
648,Carnegie Mellon University,5,CS,Masters,Rejected,I,2014,3.88,157,165,322,,TRUE
649,Colorado State University,2.4,CS,PhD,Rejected,I,2015,2.6,163,145,308,3,TRUE
650,New York University (NYU GSAS),3.4,CS,Masters,Accepted,A,2018,3.4,163,163,326,4,TRUE
651,Columbia University,4.1,CS,Masters,Accepted,I,2015,3.9,152,168,320,4,TRUE
652,Arizona State University,3.1,CS,Masters,Accepted,I,2015,3.77,165,153,318,3,TRUE
653,The University Of Wisconsin - Madison (UW),4.1,CS,Masters,Rejected,U,2017,3.93,162,170,332,4,TRUE
654,"UCSD (University Of California, San Diego)",4,CS,Masters,Rejected,I,2018,8.56,166,170,336,4,TRUE
655,Cornell,4.5,CS,Masters,Rejected,I,2015,3.77,155,167,322,4,TRUE
656,University Of Texas At Austin,4.3,CS,Masters,Accepted,A,2017,3.82,159,169,328,4,TRUE
657,University Of Chicago,3.4,CS,Masters,Accepted,A,2018,3.86,163,167,330,5,TRUE
658,The University Of Southern California (USC),3.7,CS,Masters,Rejected,I,2016,3.45,150,162,312,3.5,TRUE
659,The University Of Utah,3.1,CS,PhD,Rejected,I,2017,3.85,145,165,310,3.5,TRUE
660,Carnagie Mellon University,5,CS,Masters,Rejected,I,2016,3.8,168,149,317,3,TRUE
661,Emory University,2.3,CS,PhD,Rejected,I,2015,3.68,153,162,315,4,TRUE
662,University Of California Berkeley (UCB),5,CS,Masters,Accepted,I,2018,7.47,155,170,325,4,TRUE
663,Rutgers University - New Brunswick,3.3,CS,Masters,Accepted,I,2015,3.6,167,167,334,4.5,TRUE
664,Colorado State University,2.4,CS,PhD,Rejected,I,2013,3.96,147,161,308,3.5,TRUE
665,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,A,2015,3.52,155,169,324,4.5,TRUE
666,NCSU (North Carolina State University) (NC State),3.1,CS,Masters,Accepted,I,2017,3.59,158,170,328,4,TRUE
667,Carnegie  Mellon University,5,CS,PhD,Rejected,A,2018,3.9,165,170,335,5,TRUE
668,University Of Illinois At Chicago (UIC),2.6,CS,Masters,Rejected,I,2015,3.46,149,165,314,3.5,TRUE
669,Illinois At Urbana Champaign (UIUC),4.6,CS,Masters,Rejected,I,2018,3.46,157,170,327,3.5,TRUE
670,SUNY Buffalo,2.7,CS,Masters,Accepted,I,2015,3.96,147,170,317,3,TRUE
671,UMass Amherst / University Of Massachusetts Amherst,3.7,CS,Masters,Rejected,I,2016,3.5,152,170,322,3.5,TRUE
672,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2014,3.6,152,165,317,3,TRUE
673,"University Of California San Diego, UCSD",4,CS,Masters,Accepted,I,2015,3.8,148,170,318,3,TRUE
674,UCSB,3.3,CS,Masters,Rejected,I,2013,3.5,150,167,317,3,TRUE
675,The University Of Illinois At Chicago (UIC),2.6,CS,PhD,Accepted,I,2018,4,163,169,332,4.5,TRUE
676,University Of California San Diego (UCSD),4,CS,Masters,Accepted,I,2017,3.7,165,170,335,4.5,TRUE
677,University Of Wisconsin-madison,4.1,CS,Masters,Rejected,I,2015,3.8,161,169,330,3,TRUE
678,Rutgers,3.3,CS,PhD,Rejected,I,2013,3.25,155,165,320,3,TRUE
679,Virginia Tech,3.2,CS,PhD,Rejected,I,2014,3.1,152,168,320,3,TRUE
680,University Of Illinois Urbana Champaign,4.6,CS,Masters,Rejected,A,2015,4,164,170,334,4.5,TRUE
681,University Of Washington,4.5,CS,PhD,Rejected,A,2017,3.7,163,168,331,4.5,TRUE
682,ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,3.7,CS,Masters,Rejected,I,2016,3.52,153,164,317,3.5,TRUE
683,Purdue University,3.7,CS,PhD,Accepted,I,2014,3.8,142,165,307,3,TRUE
684,Carnegie  Mellon University (CMU),5,CS,Masters,Rejected,A,2018,3.5,163,154,317,4,TRUE
685,University Of Minnesota - Twin Cities (UMN),3.5,CS,Masters,Accepted,I,2017,3.65,157,170,327,4,TRUE
686,Columbia University,4.1,CS,Masters,Accepted,U,2017,3.9,162,170,332,,TRUE
687,Ohio State University - Columbus,3.4,CS,PhD,Accepted,I,2016,3.66,158,168,326,5,TRUE
688,University Of Texas At Austin (UT Austin),4.3,CS,Masters,Rejected,I,2018,3.64,157,170,327,4,TRUE
689,Northeastern (NEU),3,CS,PhD,Accepted,U,2017,3.03,147,164,311,2,TRUE
690,Carnege Mellon University - LTI,5,CS,Masters,Accepted,I,2017,3.79,159,170,329,4.5,TRUE
691,TAMU (Texas A & M University) College Station,3.1,CS,Masters,Accepted,I,2018,3.49,156,170,326,4,TRUE
692,UC Berkeley,5,CS,PhD,Accepted,I,2017,3.96,170,170,340,5.5,TRUE
693,The University Of Wisconsin - Madison (UW),4.1,CS,Masters,Rejected,I,2017,4,153,163,316,3.5,TRUE
694,University Of Wisconsin Madison,4.1,CS,PhD,Accepted,I,2014,3.94,164,157,321,3,TRUE
695,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2015,3.5,150,170,320,3,TRUE
696,Penn State,3.4,CS,PhD,Accepted,I,2014,3.75,158,158,316,3,TRUE
697,Arizona State University,3.1,CS,Masters,Rejected,I,2015,3.45,150,166,316,3.5,TRUE
698,University Of Texas At Austin,4.3,CS,PhD,Rejected,A,2017,3.7,163,168,331,4.5,TRUE
699,Carnegie  Mellon University (CMU),5,CS,Masters,Rejected,A,2017,3.89,169,167,336,4.5,TRUE
700,University Of Washington,4.5,CS,PhD,Accepted,A,2015,4,167,170,337,5.5,TRUE
701,Stanford,5,CS,Masters,Rejected,A,2013,3.04,162,159,321,4.5,TRUE
702,"""University Of Washington (Seattle)",4.5,CS,PhD,Rejected,A,2018,3,161,156,317,5,TRUE
703,University Of California San Diego,4,CS,PhD,Accepted,I,2016,3.73,152,170,322,4,TRUE
704,Texas A&M; University (TAMU),3.1,CS,Masters,Accepted,I,2015,3.97,150,168,318,4.5,TRUE
705,Cornell University,4.5,CS,Masters,Accepted,A,2017,3.41,161,168,329,6,TRUE
706,"UCSD (University Of California, San Diego)",4,CS,Masters,Rejected,U,2018,3.63,155,170,325,4,TRUE
707,Princeton University,4.4,CS,Masters,Rejected,I,2015,3.9,152,166,318,3.5,TRUE
708,Stanford University,5,CS,PhD,Accepted,I,2012,4,164,158,322,4,TRUE
709,UCSD,4,CS,PhD,Accepted,A,2015,3.8,170,169,339,4.5,TRUE
710,(Arizona State University) ASU,3.1,CS,Masters,Accepted,I,2017,9.99,150,165,315,3,TRUE
711,UCSD,4,CS,Masters,Accepted,A,2016,3.68,161,168,329,4,TRUE
712,UC Irvine,3.4,CS,Masters,Rejected,I,2015,3.94,151,161,312,4,TRUE
713,NYU,3.4,CS,Masters,Accepted,I,2013,4,166,157,323,3,TRUE
714,Rutgers,3.3,CS,PhD,Accepted,I,2015,3.6,153,168,321,3.5,TRUE
715,"Ùniversity Of California, Irvine",3.4,CS,PhD,Accepted,U,2016,3.6,163,156,319,4,TRUE
716,(Arizona State University) ASU Tempe,3.1,CS,Masters,Accepted,U,2018,3.98,149,161,310,4,TRUE
717,University Of Utah,3.1,CS,Masters,Rejected,I,2015,3.7,154,163,317,3.5,TRUE
718,Georgia Tech,4.4,CS,Masters,Accepted,I,2015,3.73,144,161,305,3.5,TRUE
719,Stanford University,5,CS,PhD,Accepted,A,2017,4,169,170,339,5,TRUE
720,Carnagie Mellon University (CMU),5,CS,PhD,Rejected,I,2017,3.61,162,165,327,4,TRUE
721,University Of Utah,3.1,CS,PhD,Accepted,I,2012,3.7,148,162,310,4,TRUE
722,Harvard (Graduate School Of Arts And Sciences),4,CS,PhD,Rejected,I,2016,4,167,167,334,4.5,TRUE
723,Rice University,3.7,CS,Masters,Accepted,I,2018,3.59,159,164,323,3.5,TRUE
724,Stanford,5,CS,PhD,Rejected,U,2015,3.9,165,168,333,5,TRUE
725,Massachusett Institute Of Technology (MIT),5,CS,PhD,Rejected,A,2018,4,157,169,326,4.5,TRUE
726,Stanford University,5,CS,Masters,Rejected,I,2012,3.71,162,163,325,4,TRUE
727,Columbia University,4.1,CS,Masters,Accepted,I,2014,3.9,162,166,328,4.5,TRUE
728,University Of Texas At Austin,4.3,CS,Masters,Rejected,I,2018,9.65,151,170,321,4.5,TRUE
729,University Of California San Diego (UCSD),4,CS,PhD,Rejected,A,2014,3.86,157,156,313,4,TRUE
730,Georgia Tech,4.4,CS,Masters,Rejected,I,2015,3.13,160,169,329,4,TRUE
731,"The University Of Pennsylvania (Penn, UPenn)",3.8,CS,Masters,Rejected,I,2018,3.8,159,163,322,4,TRUE
732,Princeton,4.4,CS,PhD,Rejected,I,2014,3.6,167,166,333,5,TRUE
733,UCLA,4.1,CS,Masters,Accepted,A,2015,3.6,168,161,329,3.5,TRUE
734,University Of Texas At Austin (UT Austin),4.3,CS,PhD,Rejected,I,2018,3.9,158,170,328,3.5,TRUE
735,Purdue,3.7,CS,PhD,Accepted,I,2013,3.8,170,159,329,4,TRUE
736,"California, Santa Barbara (UCSB)",3.3,CS,PhD,Accepted,A,2016,3.4,168,168,336,4.5,TRUE
737,Penn (University Of Pennsylvania),3.8,CS,PhD,Rejected,I,2016,3.8,158,167,325,3,TRUE
738,Georgia Institute Of Technology (GaTech),4.4,CS,Masters,Rejected,I,2016,3,152,163,315,3,TRUE
739,Princeton,4.4,CS,PhD,Accepted,A,2013,3.84,160,164,324,5,TRUE
740,University Of Illinois At Urbana-Champaign,4.6,CS,PhD,Rejected,I,2013,3.92,153,161,314,4.5,TRUE
741,Columbia University,4.1,CS,Masters,Accepted,I,2015,3.8,155,170,325,3.5,TRUE
742,ีUniversity Of Maryland - College Park,4,CS,Masters,Rejected,A,2016,3.1,151,148,299,3,TRUE
743,Northeastern University (NEU),3,CS,PhD,Rejected,I,2016,3.9,152,162,314,3.5,TRUE
744,North Carolina State University,3.1,CS,Masters,Accepted,I,2013,3.5,149,170,319,3.5,TRUE
745,UT Austin,4.3,CS,Masters,Rejected,I,2015,3.95,163,163,326,4,TRUE
746,Carnegie Mellon University,5,CS,Masters,Accepted,I,2015,3.8,158,170,328,3,TRUE
747,University Of Illinois - Urbana-Champagne,4.6,CS,Masters,Rejected,A,2014,3.85,160,152,312,5.5,TRUE
748,Rice University,3.7,CS,Masters,Accepted,U,2016,3.86,162,170,332,3,TRUE
749,NCSU,3.1,CS,Masters,Accepted,I,2015,9.99,158,167,325,5,TRUE
750,"Purdue University, West Lafayette",3.7,CS,Masters,Accepted,I,2018,8.25,154,167,321,3.5,TRUE
751,The University Of Pennsylvania (Upenn),3.8,CS,Masters,Rejected,I,2016,3.7,167,167,334,3.5,TRUE
752,Florida State Univeristy,2.3,CS,Masters,Accepted,A,2017,3.6,154,160,314,4.5,TRUE
753,University Of Virginia (UVA),3.4,CS,PhD,Accepted,I,2015,3.84,140,161,301,3,TRUE
754,Colorado State University,2.4,CS,Masters,Accepted,I,2013,3.36,160,165,325,4,TRUE
755,The University Of Virginia (UVA),3.4,CS,PhD,Accepted,U,2017,3.98,165,170,335,4,TRUE
756,Carnegie  Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.83,154,170,324,3.5,TRUE
757,Texas A&M; University (TAMU),3.1,CS,Masters,Rejected,I,2015,7.74,150,162,312,3.5,TRUE
758,University Of Delaware,2.5,CS,PhD,Accepted,I,2013,3.89,147,163,310,3,TRUE
759,Indiana University Bloomington,2.9,CS,PhD,Accepted,I,2013,3.57,149,167,316,3.5,TRUE
760,Northeastern University (NEU),3,CS,Masters,Accepted,I,2018,3.89,158,162,320,4.5,TRUE
761,Florida State Univeristy (FSU),2.3,CS,Masters,Accepted,U,2018,3.7,161,137,298,3.5,TRUE
762,Stanford,5,CS,Masters,Rejected,U,2015,3.9,162,162,324,4.5,TRUE
763,University Of Michigan - Ann Arbor (UMich),4.2,CS,PhD,Accepted,A,2012,3.87,164,161,325,5.5,TRUE
764,University Of California Santa Barbara (UCSB),3.3,CS,Masters,Accepted,A,2018,3.84,159,164,323,5,TRUE
765,"University Of California, Santa Cruz",2.8,CS,Masters,Accepted,A,2013,3.35,167,163,330,4.5,TRUE
766,UC Berkeley (UCB),5,CS,PhD,Accepted,I,2012,4,156,166,322,4,TRUE
767,University Of Michigan Ann Arbor,4.2,CS,PhD,Accepted,U,2015,3.95,159,168,327,4.5,TRUE
768,University Of Southern California,3.7,CS,Masters,Accepted,I,2016,3.8,159,170,329,4.5,TRUE
769,Stanford University,5,CS,PhD,Accepted,A,2012,4,170,169,339,6,TRUE
770,Carnegie Mellon (CMU),5,CS,PhD,Rejected,I,2012,3.65,152,167,319,3.5,TRUE
771,University Of Illinois At Urbana-Champaign,4.6,CS,PhD,Rejected,I,2013,3.8,160,167,327,4.5,TRUE
772,The University Of Wisconsin - Madison (UW),4.1,CS,PhD,Rejected,I,2017,3.4,156,165,321,4,TRUE
773,The University Of Pennsylvania,3.8,Other,Masters,Accepted,I,2017,3.94,153,168,321,3.5,TRUE
774,University Of Wisconsin Madison (UW-Madison),4.1,CS,Masters,Rejected,A,2017,3.64,159,158,317,4.5,TRUE
775,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,I,2017,3.66,161,170,331,4,TRUE
776,The University Of UtahUtah,3.1,CS,PhD,Accepted,I,2018,3.37,155,167,322,3.5,TRUE
777,Northeastern Universirty,3,CS,Masters,Rejected,I,2016,8.58,155,164,319,3.5,TRUE
778,The University Of Southern California (USC),3.7,CS,PhD,Accepted,A,2018,3.69,160,152,312,5.5,TRUE
779,University Of Illinois At Chicago (UIC),2.6,CS,PhD,Accepted,I,2018,3.23,145,165,310,4,TRUE
780,Columbia University (FFSEAS),4.1,CS,PhD,Accepted,I,2017,9.25,159,170,329,5,TRUE
781,The University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2016,3.8,161,170,331,4,TRUE
782,NCSU,3.1,CS,Masters,Rejected,I,2015,3.9,150,159,309,3,TRUE
783,The University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.5,160,163,323,3.5,TRUE
784,Washington State University,2.4,CS,PhD,Accepted,I,2015,3.9,145,162,307,3,TRUE
785,The University Of Massachusetts Amherst (UMass),3.7,CS,Masters,Rejected,I,2018,9.65,151,170,321,4.5,TRUE
786,(Arizona State University) ASU,3.1,CS,Masters,Accepted,I,2016,3,152,162,314,3,TRUE
787,University Of Washington - Seattle ( UW Seattle ),4.5,CS,PhD,Accepted,A,2014,3.96,162,168,330,4,TRUE
788,Harvard,4,CS,PhD,Accepted,A,2017,3.9,161,168,329,5,TRUE
789,The University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.98,162,169,331,4,TRUE
790,University Of Texas At Austin (UT Austin),4.3,CS,Masters,Accepted,A,2018,3.54,161,166,327,4,TRUE
791,Cornell,4.5,CS,PhD,Rejected,I,2013,4,150,170,320,4,TRUE
792,"""University Of Washington",4.5,CS,PhD,Rejected,I,2018,4,158,170,328,4,TRUE
793,CMU,5,CS,Masters,Rejected,I,2014,9.99,152,165,317,3,TRUE
794,University Of Wisconsin Madisson,4.1,CS,Masters,Accepted,I,2016,9.09,164,168,332,4,TRUE
795,University Of Minnesota - Twin Cities (UMN),3.5,CS,PhD,Accepted,I,2018,3.95,156,168,324,4,TRUE
796,UC Irvine (UCI),3.4,CS,Masters,Rejected,I,2018,3.28,170,162,332,4.5,TRUE
797,"University Of Illinois, Urbana-Champaign",4.6,CS,PhD,Rejected,I,2013,3.4,155,168,323,4,TRUE
798,Carnegie  Mellon University,5,CS,Masters,Rejected,A,2017,3.56,168,168,336,5,TRUE
799,Carnegie  Mellon University (CMU),5,CS,Masters,Rejected,U,2017,3.93,165,170,335,5,TRUE
800,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,I,2018,4,154,163,317,3.5,TRUE
801,NC State (North Carolina State),3.1,CS,PhD,Accepted,U,2018,3.83,158,170,328,3,TRUE
802,University Of Maryland - College Park,4,CS,PhD,Rejected,I,2015,1.91,160,163,323,3,TRUE
803,The University Of Chicago,3.4,CS,PhD,Accepted,I,2012,3.54,147,166,313,3.5,TRUE
804,"The University Of Texas, Austin (UT Austin)",4.3,CS,PhD,Rejected,I,2018,3.8,167,149,316,3.5,TRUE
805,University Of Minnesota- Twin Cities,3.5,CS,Masters,Accepted,I,2014,3.76,165,167,332,5.5,TRUE
806,NYU Courant (GSAS),3.4,CS,Masters,Accepted,A,2015,3.15,156,158,314,4,TRUE
807,"""University Of Washington Seattle",4.5,CS,PhD,Rejected,I,2016,3.61,155,170,325,3.5,TRUE
808,"University Of Maryland, College Park (UMD)",4,CS,Masters,Rejected,I,2013,3.88,164,168,332,5,TRUE
809,UC Berkeley,5,CS,PhD,Accepted,I,2014,4,159,169,328,3.5,TRUE
810,University Of Illinois At Urbana-Champaign,4.6,CS,PhD,Accepted,A,2014,3.96,162,168,330,4,TRUE
811,UC Santa Cruz,2.8,CS,PhD,Rejected,A,2015,4,157,158,315,4.5,TRUE
812,Carnegie Mellon University,5,CS,Masters,Accepted,A,2016,3.97,165,167,332,5.5,TRUE
813,Texas A&M; College Station (TAMU),3.1,CS,Masters,Accepted,I,2018,8.25,154,167,321,3.5,TRUE
814,University Of Massachusetts Amherst,3.7,CS,Masters,Rejected,I,2015,3.4,156,165,321,4,TRUE
815,"University Of Florida, Gainesville (UFL)",3,CS,Masters,Accepted,I,2016,3,160,166,326,4.5,TRUE
816,Carnagie Mellon University (CMU),5,CS,PhD,Rejected,I,2017,3.45,145,162,307,3,TRUE
817,Stanford University,5,CS,PhD,Accepted,U,2012,4,162,170,332,5.5,TRUE
818,University Of Washington,4.5,CS,PhD,Rejected,A,2014,4,167,165,332,5.5,TRUE
819,University Of Texas Austin (UT Austin),4.3,CS,Masters,Accepted,A,2015,3.93,160,165,325,3.5,TRUE
820,Purdue University West Lafayette,3.7,CS,Masters,Accepted,I,2016,3.7,154,163,317,3.5,TRUE
821,University Of Texas At Austin,4.3,CS,PhD,Rejected,I,2013,3.8,160,167,327,4.5,TRUE
