id,university,ranking, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
1355,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Rejected,A,2015,3.7,164,166,330,4,TRUE
1356,New York University (NYU),3.4,CS,Masters,Accepted,I,2016,3.8,164,170,334,3,TRUE
1357,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.7,162,169,331,4,TRUE
1358,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,A,2017,3.9,167,170,337,5,TRUE
1359,University of Utah,3.1,CS,PhD,Accepted,I,2017,4,148,164,312,3.5,TRUE
1360,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2015,3.77,155,167,322,4,TRUE
1361,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2016,3.81,166,163,329,4,TRUE
1362,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Rejected,I,2016,3.6,154,168,322,3,TRUE
1363,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,U,2018,3.9,170,158,328,4.5,TRUE
1364,University Of Washington,4.5,CS,PhD,Accepted,I,2016,3.6,151,170,321,3,TRUE
1365,Princeton University,4.4,CS,Masters,Rejected,I,2017,3.8,156,170,326,4,TRUE
1366,University Of California Los Angeles (UCLA),4.1,CS,PhD,Accepted,I,2012,3.97,158,149,307,3.5,TRUE
1367,University of Texas at Austin,4.3,CS,PhD,Accepted,A,2018,3.81,159,170,329,4,TRUE
1368,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,I,2012,3.97,158,149,307,3.5,TRUE
1369,New York University (NYU),3.4,CS,PhD,Accepted,A,2018,3.94,159,166,325,5,TRUE
1370,Rice University,3.7,CS,Masters,Rejected,I,2018,3.5,163,163,326,5,TRUE
1371,Rutgers Univeresity,3.3,CS,PhD,Rejected,I,2012,3.8,158,162,320,4,TRUE
1372,University of Chicago,3.4,CS,Masters,Accepted,I,2018,3.79,154,169,323,3,TRUE
1373,Duke University,3.6,CS,Masters,Accepted,A,2018,3.72,168,167,335,3,TRUE
1374,Princeton University,4.4,CS,Masters,Accepted,A,2017,3.41,161,168,329,6,TRUE
1375,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2016,3.7,149,165,314,3,TRUE
1376,"University of California, Davis",3.3,CS,Masters,Accepted,U,2016,3.72,142,165,307,3,TRUE
1377,Washington University St Louis,3,CS,PhD,Accepted,A,2014,3.72,159,167,326,4.5,TRUE
1378,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,I,2015,3.9,162,168,330,4,TRUE
1379,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2017,3.65,167,162,329,5,TRUE
1380,Northeastern University (NEU),3,CS,PhD,Accepted,I,2018,4,163,169,332,4.5,TRUE
1381,University Of Washington,4.5,CS,Masters,Rejected,I,2018,2.96,158,165,323,3,TRUE
1382,Columbia University,4.1,CS,PhD,Rejected,I,2012,3.66,166,144,310,3,TRUE
1383,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2015,3.3,150,162,312,3.5,TRUE
1384,Stanford University,5,CS,PhD,Rejected,A,2015,3.7,164,166,330,4,TRUE
1385,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2017,3.7,162,161,323,4.5,TRUE
1386,Oregon State University,2.5,CS,Masters,Rejected,U,2018,3.8,168,159,327,3.5,TRUE
1387,Columbia University,4.1,CS,Masters,Rejected,I,2016,3.8,164,167,331,4.5,TRUE
1388,Carnegie Mellon University (CMU),5,CS,PhD,Accepted,I,2016,3.93,149,167,316,3.5,TRUE
1389,Yale University,3.7,CS,Masters,Rejected,I,2016,3.69,153,165,318,3.5,TRUE
1390,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2016,3.9,155,165,320,4.5,TRUE
1391,"University Of California, Irvine",3.4,CS,Masters,Accepted,I,2017,3.7,165,170,335,4.5,TRUE
1392,University Of Wisconsin - Madison,4.1,CS,PhD,Accepted,I,2013,3.9,158,170,328,3.5,TRUE
1393,Northeastern University (NEU),3,CS,Masters,Accepted,I,2017,3.6,151,160,311,4,TRUE
1394,University of Pennsylvania (UPenn),3.8,CS,Masters,Rejected,I,2015,3.27,168,170,338,4,TRUE
1395,Columbia University,4.1,CS,Masters,Rejected,I,2013,3.44,154,158,312,3.5,TRUE
1396,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2016,3.31,161,161,322,4.5,TRUE
1397,University of Texas at Austin,4.3,CS,Masters,Rejected,A,2013,3.97,170,164,334,5.5,TRUE
1398,University Of Maryland,4,CS,Masters,Accepted,A,2013,3.98,167,165,332,4.5,TRUE
1399,"University Of Colorado, Boulder",3.2,CS,Masters,Accepted,I,2014,3.89,161,157,318,4,TRUE
1400,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2015,3.6,164,164,328,4.5,TRUE
1401,Arizona State University (ASU),3.1,CS,Masters,Accepted,A,2016,3.68,161,168,329,4,TRUE
1402,Johns Hopkins University (JHU),3.6,CS,PhD,Rejected,U,2015,4,159,161,320,4,TRUE
1403,University Of Virginia (UVA),3.4,CS,Masters,Accepted,U,2017,3.75,168,152,320,3.5,TRUE
1404,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Accepted,I,2015,3.4,168,170,338,4,TRUE
1405,University of Utah,3.1,CS,Masters,Accepted,I,2013,3.1,169,159,328,4,TRUE
1406,Rutgers Univeresity,3.3,CS,PhD,Rejected,I,2013,3.68,160,170,330,3.5,TRUE
1407,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2015,3.6,161,170,331,4,TRUE
1408,Pennsylvania State University (Penn State),3.4,CS,Masters,Rejected,I,2016,3.8,150,170,320,3.5,TRUE
1409,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,U,2015,3.73,160,170,330,4.5,TRUE
1410,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2015,3.6,167,167,334,4.5,TRUE
1411,Emory University,2.3,CS,PhD,Accepted,I,2016,3.1,155,166,321,4,TRUE
1412,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2016,3.58,158,170,328,4,TRUE
1413,"University Of California, Berkeley",5,CS,PhD,Accepted,A,2013,3.89,162,168,330,5,TRUE
1414,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Rejected,U,2017,4,156,167,323,4.5,TRUE
1415,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2016,3.63,152,170,322,3,TRUE
1416,Stanford University,5,CS,PhD,Accepted,I,2015,4,170,153,323,4,TRUE
1417,Stanford University,5,CS,Masters,Accepted,A,2014,3.9,166,170,336,5,TRUE
1418,"University Of California, San Diego (UCSD)",4,CS,PhD,Accepted,U,2018,3.83,170,158,328,3,TRUE
1419,State University of New York (SUNY) Stony Brook,3.2,CS,Masters,Accepted,I,2017,3.8,150,162,312,4,TRUE
1420,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Accepted,U,2018,4,158,168,326,3,TRUE
1421,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Accepted,U,2016,3.95,170,155,325,3.5,TRUE
1422,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,A,2018,3.76,166,168,334,4.5,TRUE
1423,Ohio State University (OSU),3.4,CS,PhD,Rejected,I,2016,3.6,151,165,316,3.5,TRUE
1424,University of Utah,3.1,CS,PhD,Accepted,I,2015,3.6,152,164,316,3.5,TRUE
1425,University Of Southern California (USC),3.7,CS,PhD,Accepted,I,2014,3.92,155,168,323,3.5,TRUE
1426,University Of California Los Angeles (UCLA),4.1,CS,PhD,Accepted,I,2014,3.67,141,169,310,3,TRUE
1427,"University of Massachusetts, Amherst (UMass)",3.7,CS,PhD,Accepted,I,2014,3.53,158,166,324,4,TRUE
1428,Texas A&M,3.1,CS,Masters,Accepted,A,2016,3.68,161,168,329,4,TRUE
1429,University Of Washington,4.5,CS,PhD,Rejected,A,2018,3.64,157,165,322,5,TRUE
1430,Stanford University,5,CS,PhD,Accepted,A,2014,3.7,160,164,324,5.5,TRUE
1431,California Institue Of Technology (Caltech),4.2,CS,PhD,Rejected,I,2012,3.44,150,159,309,4,TRUE
1432,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,I,2016,3,157,153,310,4,TRUE
1433,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2017,3.4,166,165,331,4.5,TRUE
1434,Columbia University,4.1,CS,Masters,Accepted,A,2016,3.4,162,170,332,5,TRUE
1435,"University Of California, Santa Barbara (UCSB)",3.3,CS,PhD,Accepted,A,2015,3.8,165,165,330,4,TRUE
1436,University Of Wisconsin - Madison,4.1,CS,PhD,Rejected,I,2012,4,166,146,312,3.5,TRUE
1437,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.9,155,169,324,4.5,TRUE
1438,University Of Washington,4.5,CS,PhD,Accepted,A,2013,3.75,163,170,333,4,TRUE
1439,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2015,3.15,156,158,314,4,TRUE
1440,"University Of California, Riverside",2.7,CS,Masters,Accepted,A,2014,3.4,159,158,317,4,TRUE
1441,North Carolina State University,3.1,CS,Masters,Rejected,I,2013,3.4,152,163,315,3.5,TRUE
1442,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,I,2013,3.6,165,165,330,5.5,TRUE
1443,"University of California, Santa Cruz (UCSC)",2.8,CS,PhD,Accepted,A,2016,3.59,170,157,327,5,TRUE
1444,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Rejected,I,2014,3.95,163,166,329,3.5,TRUE
1445,University Of Washington,4.5,CS,PhD,Rejected,I,2014,3.8,155,168,323,4,TRUE
1446,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2014,3.9,147,162,309,4,TRUE
1447,University of Texas at Austin,4.3,CS,Masters,Accepted,I,2015,3.88,163,168,331,5,TRUE
1448,"University Of California, Irvine",3.4,CS,PhD,Accepted,I,2016,3.8,162,154,316,3,TRUE
1449,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2015,3.9,163,167,330,4.5,TRUE
1450,Harvard University,4,CS,PhD,Rejected,I,2016,3.58,158,170,328,4,TRUE
1451,Princeton University,4.4,CS,PhD,Accepted,A,2013,3.99,167,164,331,4.5,TRUE
1452,Princeton University,4.4,CS,Masters,Rejected,A,2018,3.77,164,161,325,4,TRUE
1453,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2013,3.3,152,169,321,3,TRUE
1454,University of Pennsylvania (UPenn),3.8,CS,Masters,Accepted,A,2017,3.9,159,170,329,3.5,TRUE
1455,Northeastern University (NEU),3,CS,Masters,Accepted,I,2018,3.89,158,162,320,4.5,TRUE
1456,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2015,3.5,144,167,311,3,TRUE
1457,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.67,154,160,314,4,TRUE
1458,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2018,3.94,163,168,331,4.5,TRUE
1459,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2017,3.63,164,163,327,3.5,TRUE
1460,Princeton University,4.4,CS,PhD,Rejected,I,2014,3.9,146,168,314,3,TRUE
1461,North Carolina State University,3.1,CS,Masters,Accepted,I,2016,3.7,156,170,326,3.5,TRUE
1462,Columbia University,4.1,CS,Masters,Accepted,U,2017,3.9,158,164,322,4.5,TRUE
1463,University Of Maryland,4,CS,PhD,Accepted,I,2016,3.81,166,163,329,4,TRUE
1464,"University of California, Davis",3.3,CS,PhD,Accepted,I,2013,3.51,154,166,320,5.5,TRUE
1465,Brown University,3.6,CS,PhD,Rejected,I,2015,3.56,147,166,313,4,TRUE
1466,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,I,2014,3.8,142,165,307,2.5,TRUE
1467,University of Texas at Austin,4.3,CS,PhD,Accepted,U,2018,3.95,160,170,330,3.5,TRUE
1468,Columbia University,4.1,CS,Masters,Accepted,I,2017,3.6,160,168,328,4.5,TRUE
1469,Ohio State University (OSU),3.4,CS,Masters,Rejected,I,2016,3.5,154,165,319,4.5,TRUE
1470,"University of California, Santa Cruz (UCSC)",2.8,CS,PhD,Rejected,I,2015,2.6,163,145,308,3,TRUE
1471,Purdue University,3.7,CS,Masters,Accepted,I,2017,3.83,159,165,324,3,TRUE
1472,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,A,2016,3.9,160,163,323,6,TRUE
1473,"University Of California, Berkeley",5,CS,PhD,Accepted,I,2018,3.7,150,170,320,3,TRUE
1474,University of Texas at Austin,4.3,CS,PhD,Accepted,A,2014,2.6,169,164,333,4,TRUE
1475,University Of California Los Angeles (UCLA),4.1,CS,PhD,Rejected,I,2015,3.8,154,170,324,4.5,TRUE
1476,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.22,164,168,332,3.5,TRUE
1477,Yale University,3.7,CS,PhD,Rejected,A,2017,3.65,167,162,329,5,TRUE
1478,"University Of Colorado, Boulder",3.2,CS,PhD,Rejected,A,2014,3.4,157,164,321,5.5,TRUE
1479,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.6,153,157,310,3,TRUE
1480,Harvard University,4,CS,PhD,Rejected,I,2015,4,165,162,327,5,TRUE
1481,University Of Wisconsin - Madison,4.1,CS,PhD,Accepted,A,2012,3.8,160,153,313,4,TRUE
1482,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Rejected,I,2013,3.76,150,170,320,3,TRUE
1483,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,I,2016,3,160,166,326,4.5,TRUE
1484,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,U,2017,3.82,160,164,324,4,TRUE
1485,Oregon State University,2.5,CS,PhD,Accepted,I,2016,3.6,167,143,310,3,TRUE
1486,Rutgers Univeresity,3.3,CS,Masters,Rejected,I,2015,3.4,150,163,313,2.5,TRUE
1487,The University Of Arizona,3.1,CS,Masters,Accepted,A,2015,3.33,160,158,318,4,TRUE
1488,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,I,2013,3.8,155,163,318,3,TRUE
1489,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.83,154,170,324,3.5,TRUE
1490,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2013,3.5,168,154,322,4,TRUE
1491,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,A,2013,3.5,157,164,321,3.5,TRUE
1492,University Of California Los Angeles (UCLA),4.1,CS,Masters,Rejected,I,2015,3.42,156,169,325,4,TRUE
1493,University Of Washington,4.5,CS,PhD,Accepted,I,2018,4,155,170,325,4.5,TRUE
1494,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,A,2014,4,162,170,332,4,TRUE
1495,"University of California, Davis",3.3,CS,Masters,Accepted,U,2018,3.77,154,169,323,3.5,TRUE
1496,University of Florida (UF),3,CS,Masters,Rejected,I,2015,3.5,170,151,321,4,TRUE
1497,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2013,3.9,163,165,328,4,TRUE
1498,University of Texas at Austin,4.3,CS,PhD,Rejected,I,2018,3.8,167,149,316,3.5,TRUE
1499,Pennsylvania State University (Penn State),3.4,CS,PhD,Accepted,I,2013,3.7,145,157,302,3,TRUE
1500,University Of Southern California (USC),3.7,CS,PhD,Accepted,I,2015,3.96,168,170,338,5,TRUE
1501,Stanford University,5,CS,Masters,Accepted,A,2018,4,167,170,337,4.5,TRUE
1502,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Rejected,I,2013,3.2,144,158,302,3,TRUE
1503,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,U,2016,3.8,154,168,322,3.5,TRUE
1504,Yale University,3.7,CS,PhD,Rejected,I,2017,3.2,150,168,318,3.5,TRUE
1505,Columbia University,4.1,CS,PhD,Rejected,I,2015,3.6,164,167,331,3.5,TRUE
1506,Indiana University,2.9,CS,PhD,Accepted,I,2014,3.67,149,168,317,3.5,TRUE
1507,University of Pennsylvania (UPenn),3.8,CS,Masters,Rejected,I,2017,3.5,163,163,326,5,TRUE
1508,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.5,160,163,323,3.5,TRUE
1509,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,I,2015,3.85,163,167,330,4,TRUE
1510,Arizona State University (ASU),3.1,CS,Masters,Rejected,A,2017,2.93,159,156,315,4,TRUE
1511,Brown University,3.6,CS,Masters,Accepted,I,2015,3.4,155,165,320,4,TRUE
1512,"University of Illinois, Urbana-Champaign (UIUC)",2.6,CS,Masters,Accepted,I,2017,3.6,150,160,310,3,TRUE
1513,"University Of California, Berkeley",5,CS,PhD,Rejected,I,2013,3.8,160,167,327,4.5,TRUE
1514,Columbia University,4.1,CS,PhD,Accepted,I,2015,4,170,165,335,5,TRUE
1515,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.98,162,169,331,4,TRUE
1516,"University Of California, Riverside",2.7,CS,PhD,Accepted,A,2015,3.44,159,156,315,3,TRUE
1517,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2017,3.5,159,168,327,4.5,TRUE
1518,Massachusetts Institute of Technology (MIT),5,CS,PhD,Rejected,I,2015,2.95,152,163,315,3,TRUE
1519,Yale University,3.7,CS,PhD,Accepted,I,2012,3.97,145,159,304,3.5,TRUE
1520,Stanford University,5,CS,PhD,Rejected,I,2017,3.26,150,170,320,3,TRUE
1521,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,I,2014,3.98,156,162,318,3,TRUE
1522,"University of Massachusetts, Amherst (UMass)",3.7,CS,PhD,Accepted,A,2018,3.7,160,152,312,5.5,TRUE
1523,Princeton University,4.4,CS,Masters,Rejected,A,2013,3.65,168,160,328,4.5,TRUE
1524,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2013,3.72,152,165,317,3,TRUE
1525,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Accepted,A,2018,3.77,164,161,325,4,TRUE
1526,"University Of California, Santa Barbara (UCSB)",3.3,CS,PhD,Rejected,I,2014,3.58,145,168,313,3,TRUE
1527,University of Utah,3.1,CS,Masters,Accepted,A,2017,3.5,170,168,338,5,TRUE
1528,California Institue Of Technology (Caltech),4.2,CS,PhD,Rejected,U,2013,3.97,157,170,327,3.5,TRUE
1529,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2013,3.3,154,159,313,3.5,TRUE
1530,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2016,3.48,159,167,326,4,TRUE
1531,University Of Virginia (UVA),3.4,CS,Masters,Accepted,U,2017,3.4,170,148,318,3,TRUE
1532,Northeastern University (NEU),3,CS,Masters,Accepted,I,2018,3.5,155,163,318,4,TRUE
1533,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2013,3.6,160,161,321,5,TRUE
1534,Washington State University,2.4,CS,PhD,Accepted,A,2017,3.84,170,165,335,5.5,TRUE
1535,New York University (NYU),3.4,CS,Masters,Accepted,A,2018,3.92,161,166,327,4.5,TRUE
1536,University Of Washington,4.5,CS,PhD,Rejected,U,2015,4,155,170,325,4,TRUE
1537,Emory University,2.3,CS,PhD,Rejected,U,2018,3.49,152,168,320,3.5,TRUE
1538,Cornell University,4.5,CS,PhD,Rejected,U,2018,3.55,151,167,318,4,TRUE
1539,Stanford University,5,CS,PhD,Rejected,U,2015,3.41,141,151,292,3,TRUE
1540,Columbia University,4.1,CS,Masters,Accepted,A,2015,3.41,168,170,338,4.5,TRUE
1541,Pennsylvania State University (Penn State),3.4,CS,PhD,Rejected,A,2015,3.4,164,162,326,5,TRUE
1542,Boston University,3,CS,PhD,Accepted,A,2017,3.78,165,165,330,4,TRUE
1543,Cornell University,4.5,CS,Masters,Accepted,I,2014,3.86,158,170,328,4,TRUE
1544,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2018,3.81,160,170,330,4.5,TRUE
1545,Stanford University,5,CS,PhD,Rejected,I,2015,3.96,168,170,338,5,TRUE
1546,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2014,3.7,169,154,323,4.5,TRUE
1547,"University Of California, Berkeley",5,CS,PhD,Accepted,A,2018,3.96,146,167,313,4,TRUE
1548,Stanford University,5,CS,PhD,Rejected,A,2018,3.9,165,160,325,5,TRUE
1549,"University of Illinois, Chicago (UIC)",2.6,CS,Masters,Rejected,I,2015,3.46,149,165,314,3.5,TRUE
1550,University of Pennsylvania (UPenn),3.8,CS,Masters,Rejected,I,2013,3.7,167,150,317,3,TRUE
1551,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2015,3.85,162,170,332,4,TRUE
1552,Princeton University,4.4,CS,PhD,Rejected,A,2016,3.9,169,165,334,4.5,TRUE
1553,"University of California, Davis",3.3,CS,PhD,Accepted,U,2014,3.24,147,159,306,4,TRUE
1554,Stanford University,5,CS,Masters,Rejected,A,2014,3.72,167,167,334,4,TRUE
1555,University Of Wisconsin - Madison,4.1,CS,PhD,Accepted,I,2015,3.84,166,168,334,5.5,TRUE
1556,North Carolina State University,3.1,CS,Masters,Accepted,I,2015,3.5,154,167,321,4,TRUE
1557,University of Utah,3.1,CS,Masters,Rejected,I,2015,3.7,154,163,317,3.5,TRUE
1558,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,I,2017,3.54,149,167,316,3.5,TRUE
1559,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.87,159,168,327,3.5,TRUE
1560,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Rejected,I,2014,3.88,157,165,322,3.5,TRUE
1561,Michigan State University,2.9,CS,PhD,Rejected,I,2013,3.45,152,162,314,3.5,TRUE
1562,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Accepted,I,2014,3.68,153,164,317,3,TRUE
1563,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,I,2015,3.6,161,170,331,5,TRUE
1564,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2015,3.15,156,158,314,4,TRUE
1565,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Rejected,I,2015,3.8,154,170,324,4.5,TRUE
1566,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Accepted,I,2016,3.7,156,170,326,3.5,TRUE
1567,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,A,2018,3.33,157,167,324,4.5,TRUE
1568,Syracuse University,2.5,CS,Masters,Accepted,I,2016,3.42,144,164,308,2.5,TRUE
1569,University Of California Los Angeles (UCLA),4.1,CS,PhD,Accepted,I,2013,3.98,145,169,314,3,TRUE
1570,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2018,3.2,155,170,325,4.5,TRUE
1571,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2016,3.67,161,162,323,4,TRUE
1572,Texas A&M,3.1,CS,Masters,Accepted,I,2018,3.8,159,170,329,4,TRUE
1573,"University Of California, Berkeley",5,CS,PhD,Rejected,I,2013,3.83,163,167,330,4.5,TRUE
1574,Emory University,2.3,CS,PhD,Rejected,I,2015,3.68,153,162,315,4,TRUE
1575,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2014,3.75,164,163,327,5,TRUE
1576,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,A,2015,3.1,160,160,320,4.5,TRUE
1577,"University of California, Davis",3.3,CS,Masters,Accepted,I,2016,3.3,170,155,325,3,TRUE
1578,Stanford University,5,CS,PhD,Accepted,I,2013,3.72,153,169,322,4,TRUE
1579,Columbia University,4.1,CS,Masters,Accepted,I,2018,3.72,159,167,326,5,TRUE
1580,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2016,3.46,152,167,319,4,TRUE
1581,Northeastern University (NEU),3,CS,PhD,Accepted,I,2014,3.2,156,166,322,4,TRUE
1582,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,A,2017,3.7,159,166,325,4.5,TRUE
1583,Northwestern University,3.4,CS,PhD,Rejected,U,2015,3.2,150,170,320,2,TRUE
1584,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.79,157,167,324,4,TRUE
1585,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2014,3.28,158,161,319,4.5,TRUE
1586,Cornell University,4.5,CS,PhD,Rejected,I,2013,3.5,152,165,317,2.5,TRUE
1587,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,I,2016,3.3,150,165,315,3.5,TRUE
1588,Princeton University,4.4,CS,PhD,Accepted,I,2017,3.98,152,170,322,3,TRUE
1589,University Of California Los Angeles (UCLA),4.1,CS,PhD,Accepted,I,2013,3.85,148,166,314,3,TRUE
1590,University Of Maryland,4,CS,Masters,Rejected,I,2013,3.88,164,168,332,5,TRUE
1591,New York University (NYU),3.4,CS,Masters,Accepted,I,2016,3.53,148,165,313,3,TRUE
1592,University Of Wisconsin - Madison,4.1,CS,PhD,Accepted,I,2013,3.57,157,168,325,4,TRUE
1593,University Of Virginia (UVA),3.4,CS,PhD,Accepted,I,2017,3.9,158,170,328,4,TRUE
1594,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,A,2015,3.9,156,164,320,6,TRUE
1595,North Carolina State University,3.1,CS,Masters,Accepted,U,2016,3.6,165,153,318,3.5,TRUE
1596,"University of California, Davis",3.3,CS,PhD,Rejected,A,2014,3.67,161,166,327,4,TRUE
1597,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,A,2018,3.76,154,167,321,4,TRUE
1598,Columbia University,4.1,CS,Masters,Accepted,A,2017,3.38,164,168,332,4.5,TRUE
1599,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Rejected,I,2016,3.5,149,169,318,4,TRUE
1600,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2014,3.77,162,170,332,4,TRUE
1601,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Rejected,I,2014,3.8,154,162,316,3.5,TRUE
1602,New York University (NYU),3.4,CS,Masters,Accepted,I,2013,3.9,163,165,328,4,TRUE
1603,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Rejected,I,2015,3.42,150,165,315,3,TRUE
1604,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,A,2016,3.73,162,162,324,4.5,TRUE
1605,"University Of California, Irvine",3.4,CS,Masters,Accepted,I,2017,3.5,158,163,321,5,TRUE
1606,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,A,2013,3.1,156,167,323,4,TRUE
1607,Cornell University,4.5,CS,PhD,Rejected,I,2018,3.7,161,166,327,4,TRUE
1608,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2018,3.1,162,165,327,4.5,TRUE
1609,Stanford University,5,CS,Masters,Rejected,A,2018,3.8,164,170,334,4.5,TRUE
1610,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2014,3.8,162,164,326,5,TRUE
1611,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2018,3.92,169,169,338,5,TRUE
1612,"University Of California, Irvine",3.4,CS,PhD,Accepted,U,2016,3.6,163,156,319,4,TRUE
1613,Stanford University,5,CS,Masters,Rejected,U,2018,3.76,160,170,330,4.5,TRUE
1614,Columbia University,4.1,CS,Masters,Accepted,A,2018,3.77,167,168,335,4.5,TRUE
1615,University Of Maryland,4,CS,Masters,Rejected,I,2012,3.71,162,163,325,4,TRUE
